id,fen,name,moves,ECO,parent,child,white,draws,black,bullet_avg,blitz_avg,rapid_avg,classical_avg,0_white,0_draws,0_black,1000_white,1000_draws,1000_black,1200_white,1200_draws,1200_black,1400_white,1400_draws,1400_black,1600_white,1600_draws,1600_black,1800_white,1800_draws,1800_black,2000_white,2000_draws,2000_black,2200_white,2200_draws,2200_black,2500_white,2500_draws,2500_black,bullet_white,bullet_draws,bullet_black,blitz_white,blitz_draws,blitz_black,rapid_white,rapid_draws,rapid_black,classical_white,classical_draws,classical_black,unshow,games,white_rate,draws_rate,black_rate,0_games,0_black_rate,0_draws_rate,0_score_rate,1000_games,1000_black_rate,1000_draws_rate,1000_score_rate,1200_games,1200_black_rate,1200_draws_rate,1200_score_rate,1400_games,1400_black_rate,1400_draws_rate,1400_score_rate,1600_games,1600_black_rate,1600_draws_rate,1600_score_rate,1800_games,1800_black_rate,1800_draws_rate,1800_score_rate,2000_games,2000_black_rate,2000_draws_rate,2000_score_rate,2200_games,2200_black_rate,2200_draws_rate,2200_score_rate,2500_games,2500_black_rate,2500_draws_rate,2500_score_rate,bullet_games,bullet_black_rate,bullet_draws_rate,bullet_score_rate,blitz_games,blitz_black_rate,blitz_draws_rate,blitz_score_rate,rapid_games,rapid_black_rate,rapid_draws_rate,rapid_score_rate,classical_games,classical_black_rate,classical_draws_rate,classical_score_rate,score_rate,score_rate_rank,draws_rate_rank,score_rate_hist,draws_rate_hist,selection_rate,selection_rate_rank,bullet_sharpness,blitz_sharpness,rapid_sharpness,classical_sharpness,sharpness,popularity,elo_sensitivity,time_pressure_advantage
606,r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 2 4,"English Opening: Symmetrical Variation, Four Knights Variation",1.Nf3 Nf6 2.c4 c5 3.Nc3 Nc6,A35,NaN,"[629, 2191]",474551,59856,386531,1911.0,1925.1,1822.0,1775.7,3720,340,2692,10093,802,7938,25819,2010,20857,52668,4384,44060,89984,9036,75620,124954,14379,103885,122250,16508,96472,76641,13579,59813,8054,1970,6681,186388,14865,156653,381690,47095,311559,83513,11343,67554,9348,1418,7418,0,920938,51.52909316370917,6.499460332834567,41.971446503456264,6752,39.8696682464455,5.035545023696683,42.387440758293835,18833,42.14941857378007,4.258482451016833,44.278659799288484,48686,42.83983075216695,4.12849689849238,44.90407920141314,101112,43.57544109502334,4.335786059023657,45.74333412453517,174640,43.30050389372423,5.174072377462208,45.88754008245534,243218,42.71271040794678,5.911980198833968,45.668700507363766,235230,41.01177570888067,7.017812353866429,44.520681885813886,150033,39.86656268954164,9.050675518052694,44.39190044856798,16705,39.994013768332835,11.792876384316072,45.89045196049087,357906,43.76931373042084,4.153325174766559,45.845976317804116,740344,42.083004657294445,6.361232075899852,45.26362069524437,162410,41.59472938858445,6.984175851240687,45.086817314204794,18184,40.79410470743511,7.798064232292125,44.69313682358117,45.22117666987354,2316,435,12,19,0.02654862665106697,912.0,-0.9603589302978444,-0.8480387284631075,-0.9464624689058585,-0.933347572310196,-1.0041961060936087,0.14802232260575277,-0.08881556186525437,0.14091223223164273
610,rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 0 4,English Opening: Neo-Catalan,1.Nf3 Nf6 2.c4 e6 3.g3 d5,A13,NaN,"[354, 355, 1370]",417123,63036,335042,2177.4,2146.3,2031.5,1925.2,483,29,356,1488,92,1144,3932,288,3245,10613,833,8503,29841,2692,23565,77033,8178,59754,133339,18291,104666,142848,26902,118081,23449,6140,20473,217520,19900,168936,373105,55544,301378,40116,6740,30704,3902,752,2960,0,815201,51.168116820268864,7.732571476237149,41.09931170349398,868,41.013824884792626,3.3410138248847927,42.684331797235025,2724,41.99706314243759,3.3773861967694567,43.68575624082232,7465,43.4695244474213,3.858004018754186,45.39852645679839,19949,42.62369041054689,4.175647902150484,44.711514361622136,56098,42.00684516382046,4.798745053299583,44.40621769047025,144965,41.219604732176734,5.641361707998483,44.040285586175976,256296,40.83793738489871,7.136670100196647,44.406272434997035,287831,41.024420580132094,9.346456774982542,45.69764896762336,50062,40.89528984059766,12.264791658343654,47.02768566976949,406356,41.57339869474057,4.897183750209176,44.02199056984516,730027,41.283130623935826,7.608485713542102,45.08737348070688,77560,39.587416193914386,8.690046415678184,43.932439401753484,7614,38.875755187811926,9.876543209876543,43.8140267927502,44.96559744161256,2368,96,12,23,0.023500460394268067,985.0,-1.0622911502598669,-1.1749047522558698,-1.4100328427332567,-1.5222468843084265,-1.4075040561787588,0.0671152163789857,0.11018083533480799,0.2879425863527301
614,rnbqk2r/ppppppbp/5np1/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 2 4,Reti: KIA,1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7,A05,NaN,[356],1510068,204575,1363910,2105.9,1973.0,1768.9,1740.5,19413,2405,17904,42474,4501,40857,77263,7779,74420,127669,12724,126278,207076,22298,204484,328249,38230,300330,436708,58156,379110,364431,62814,315719,45935,10353,37989,2148930,224846,1912697,1331055,177336,1192832,165816,24928,158244,13197,2311,12834,0,3078553,49.05122633912751,6.645167388705018,44.30360627216748,39722,45.073259151100146,6.05457932631791,48.100548814259106,87832,46.517214682575826,5.124555970489116,49.07949266782038,159462,46.66942594473918,4.8782782104827485,49.108565049980555,266671,47.35348050594178,4.771422464384954,49.73919173813425,433858,47.13154995413246,5.139469596042945,49.70128475215393,666809,45.039883984769254,5.733275945585618,47.906521957562056,873974,43.37772061869117,6.654202527763983,46.704821882573164,742964,42.49452194184375,8.454514619820072,46.72177925175379,94277,40.295087879334304,10.981469499453738,45.785822629061165,4286473,44.621697138883185,5.245478042203929,47.24443615998514,2701223,44.15896058933305,6.565026286241454,47.44147373245378,348988,45.34367943883457,7.142939012229648,48.9151489449494,28342,45.28261943405546,8.153976430738833,49.35960764942488,47.62618996651998,1545,372,13,19,0.08874794418573473,386.0,-0.27848801252503375,-0.7975019270581951,-1.2872178057521673,-1.2307352734343802,-0.9785304620977334,0.9486298914522097,-0.5782411097279636,-0.6929380820310267
615,r1bqkbnr/pp2pppp/2n5/2pp4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,Reti: 1...c5,1.Nf3 c5 2.g3 Nc6 3.Bg2 d5,A04,NaN,[],1000432,102266,820229,1942.9,1913.9,1830.6,1781.1,4815,368,4702,16245,1282,16047,38808,2932,38079,83923,6395,83152,171813,14597,164234,292063,27491,243707,307080,32738,225822,137940,19356,97387,7613,1689,5927,950340,68433,753605,872718,87268,709123,119697,13866,103995,8017,1132,7111,0,1922927,52.02651998749822,5.318246610505755,42.655233401996014,9885,47.567020738492666,3.7228123419322205,49.42842690945878,33574,47.79591350449753,3.8184309286948235,49.70512896884494,79819,47.70668637793007,3.6733108658339493,49.54334181084704,173470,47.93451317230645,3.6865164005303512,49.77777137257163,350644,46.83781841411802,4.1629116710966105,48.91927424966633,563261,43.26715323801932,4.880685863214389,45.707496169626516,565640,39.923272752987764,5.787780213563398,42.81716285976947,254683,38.23851611611297,7.600036123337639,42.03853417778179,15229,38.91916737802876,11.090682250968547,44.46450850351303,1772378,42.51942869974689,3.861083809435685,44.44997060446473,1669109,42.48512230177897,5.228418275858557,45.09933143970825,237558,43.776677695552245,5.836890359406966,46.69512287525573,16260,43.73308733087331,6.961869618696187,47.2140221402214,45.3143567072489,2296,1247,12,15,0.05543377621539806,572.0,0.35630752347899275,0.2872891650247027,0.2663409938446559,0.2711353399154959,0.32157324815979327,0.6364257661309444,-1.7368502560168588,-0.8150212215248847
618,rnbqkb1r/ppp2ppp/4pn2/3p4/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq - 0 4,"Reti: Nimzowitsch-Larsen, 2...Nf6",1.Nf3 d5 2.b3 Nf6 3.Bb2 e6,A06,NaN,[],378280,44780,319740,2005.3,1893.8,1801.4,1777.8,1809,145,1639,5772,447,5532,16790,1313,15660,42557,3421,39560,78016,7615,70699,105576,11716,87510,95203,12144,76858,51590,8724,41001,5338,1160,4112,706263,54850,558333,335550,39150,282684,39374,5065,34178,3356,565,2878,0,742800,50.92622509423802,6.028540656973613,43.04523424878837,3593,45.61647648204843,4.035624826050654,47.63428889507376,11751,47.07684452387031,3.8039315802910387,48.97881031401583,33763,46.3821342890146,3.888872434321595,48.3265705061754,85538,46.24845098085061,3.9993920830508083,48.24814702237602,156330,45.22420520693405,4.871105993731209,47.659758203799655,204802,42.729074911377815,5.7206472593041084,45.58939854102987,184205,41.72416601069461,6.592654922504818,45.02049347194701,101315,40.46883482208952,8.610768395597889,44.77421901988847,10610,38.75589066918002,10.933081998114986,44.22243166823751,1319446,42.31571432252627,4.157047730638465,44.3942381878455,657384,43.00135080865978,5.955423314227301,45.97906246577343,78617,43.474057773763946,6.442626912754239,46.69537123014106,6799,42.329754375643475,8.310045594940432,46.48477717311369,46.05950457727517,2091,711,13,18,0.0214132980465705,1049.0,-0.08902569407486105,-0.5053535564167424,-0.5512112410317709,-0.45337876704489943,-0.4353547397093865,0.005413665422080051,-0.7778836872790356,-0.749991348098145
635,r1bqkbnr/ppp2ppp/2n5/3pp3/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,Reti: KIA,1.Nf3 d5 2.g3 Nc6 3.Bg2 e5,A07,NaN,[357],696891,64695,674767,1717.5,1599.4,1504.4,1514.8,45251,4487,49204,102692,9888,110936,157200,14487,169355,197133,17379,209040,202147,18051,202316,170301,15541,153865,91174,8853,76674,32573,4155,29183,3563,716,3689,488536,35102,444063,534827,48658,509381,150306,14819,153083,11758,1218,12303,0,1436353,48.51808712760721,4.504115631742336,46.97779724065045,98942,49.73014493339532,4.534980089345273,51.997634978067964,223516,49.63224109236028,4.423844378031102,51.844163281375835,341042,49.658106626163345,4.247863899461064,51.78203857589387,423552,49.35403445149592,4.103156165004533,51.40561253399819,422514,47.8838571029599,4.272284468680327,50.01999933730007,339707,45.29344405620137,4.574824775468271,47.58085644393551,176701,43.39194458435436,5.0101584031782505,45.89702378594349,65911,44.27637268437742,6.3039553337075755,47.42835035123121,7968,46.29769076305221,8.9859437751004,50.790662650602414,967701,45.888451081480746,3.6273601039990657,47.70213113348028,1092866,46.60964839239211,4.452329928829335,48.83581335680678,318208,48.107841411906676,4.657016794046661,50.436349808930004,25279,48.668855571818504,4.818228569168085,51.07796985640255,49.22985505652162,964,2062,14,13,0.04140691288245245,689.0,0.21335243113317048,-0.1870703178632711,-0.11773422803834421,-0.062249471976461024,-0.041848655896088806,0.4428842162260251,-1.1129954960549042,-0.8965678721718014
636,rn1qkb1r/ppp1pppp/5n2/3p1b2/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 3 4,Reti: KIA,1.Nf3 d5 2.g3 Nf6 3.Bg2 Bf5,A07,NaN,[],273728,33932,242301,2004.8,1938.4,1718.7,1724.5,5134,504,4579,10735,933,9755,18699,1611,17481,30431,2539,28444,42916,3965,39203,56915,6020,50118,71871,9327,63395,63888,10610,55187,7707,1471,5954,243744,21185,200997,232744,28524,205447,37638,4839,33914,3346,569,2940,0,549961,49.772256578193726,6.169892046890597,44.05785137491567,10217,44.817461094254675,4.932954879123031,47.28393853381619,21423,45.53517247817766,4.355132334406946,47.71273864538113,37791,46.25704532825276,4.262919742795904,48.38850519965071,61414,46.315172436252325,4.134236493307715,48.382290682906174,86084,45.540402397658106,4.605966265508108,47.84338553041216,113053,44.33141977656497,5.324936091921488,46.99388782252572,144593,43.84375453860145,6.450519734703616,47.06901440595326,129685,42.55465165593554,8.181362532289778,46.64533292208042,15132,39.34707903780069,9.721120803595031,44.2076394395982,465926,43.139253872932606,4.546859372518383,45.412683559191805,466715,44.019797949498084,6.111652721682397,47.075624310339286,76391,44.39528216674739,6.334515846107526,47.56254008980115,6855,42.88840262582057,8.300510576221736,47.03865791393144,47.142797398360976,1719,621,13,18,0.01585417179185509,1207.0,-0.23250016755686076,-0.46398102077044445,-0.9963383905853558,-0.8244056794625658,-0.6853702416587438,-0.19399114175243382,-0.29963686913739507,-0.5415849140064773
637,rnbqkb1r/pp2pppp/2p2n2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,Reti: KIA,1.Nf3 d5 2.g3 Nf6 3.Bg2 c6,A07,NaN,[2201],809735,110333,710119,2121.9,1988.4,1778.6,1747.2,8748,834,7534,18694,1687,16438,32394,2719,29658,59750,5369,57887,111040,11457,107733,184939,21536,165880,234295,31956,195845,193024,33772,161397,26687,6243,21377,1679588,168867,1444507,725099,98291,633844,78905,11094,70905,5731,948,5370,0,1630187,49.6712953789964,6.768119240308014,43.560585380695585,17116,44.017293760224355,4.872633792942276,46.45361065669549,36819,44.64542763247237,4.5818734892311035,46.93636437708792,64771,45.789010513964584,4.197866329067021,47.88794367849809,123006,47.06030600133327,4.3648277319805535,49.24271986732355,230230,46.793641141467226,4.976328019806281,49.281805151370364,372355,44.548884800794944,5.783727894079575,47.440748747834725,462096,42.381886015027185,6.915446141061597,45.83960908555798,388193,41.57648386240865,8.699796235377763,45.92638198009753,54307,39.36324967315447,11.495755611615445,45.111127478962196,3292962,43.866494663467115,5.128118696784233,46.43055401185923,1457234,43.49637738345386,6.745038888744018,46.868896827825864,160904,44.06664843633471,6.894794411574604,47.514045642122014,12049,44.568013943065814,7.8678728525188815,48.50195036932525,46.9446450008496,1816,317,13,20,0.04699472280916078,621.0,-0.33350119004751555,-0.8573607640048095,-1.3745393687399874,-1.3248160931282849,-1.0591977184336336,0.5268625209870111,-0.5491576448348897,-0.4594321004540646
638,rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,Reti: KIA,1.Nf3 d5 2.g3 Nf6 3.Bg2 e6,A07,NaN,[],1150908,140369,928822,2026.2,1922.4,1717.3,1693.9,17541,1528,14789,37849,3261,32593,71775,6093,63467,128228,11764,114823,200545,20299,175414,268202,29279,214982,291662,35950,219606,231490,36384,179805,30781,6693,24192,2423661,214323,1880428,1021398,123512,820303,119777,15466,100607,9733,1391,7912,0,2220099,51.84039090148682,6.322645972094038,41.836963126419136,33858,43.679484907555086,4.5129659164746885,45.93596786579243,73703,44.2220805123265,4.424514605918348,46.43433781528567,141335,44.905366681996675,4.311034067994481,47.06088371599392,254815,45.06131899613445,4.616682691364323,47.36966034181661,396258,44.26762361895533,5.1226726021935205,46.828959920052085,512463,41.950735955571425,5.713388088505901,44.80742999982438,547218,40.13135532822385,6.569593836460058,43.41615224645388,447679,40.1638227390608,8.127251892539073,44.22744868533034,61666,39.23069438588525,10.853630850063244,44.65750981091687,4518412,41.61701057805264,4.743325752498887,43.98867345430209,1965213,41.74117512961699,6.284916698597049,44.88363347891552,235850,42.657197371210515,6.557557769768921,45.935976256094975,19036,41.56335364572389,7.307207396511872,45.21695734397983,44.998286112466154,2365,537,12,18,0.06400059448020076,500.0,-0.29438611617761357,-0.6822861300324616,-1.154234831671399,-1.10901834741499,-0.8821413436495651,0.7317587291542637,-0.7340959201960219,-0.6993599268925753
640,r1bqkbnr/pp2pppp/2n5/2pp4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 2 4,King's Indian Attack: French Variation,1.Nf3 d5 2.g3 c5 3.Bg2 Nc6,A08,NaN,[1384],1000432,102266,820229,1942.9,1913.9,1830.6,1781.1,4815,368,4702,16245,1282,16047,38808,2932,38079,83923,6395,83152,171813,14597,164234,292063,27491,243707,307080,32738,225822,137940,19356,97387,7613,1689,5927,950340,68433,753605,872718,87268,709123,119697,13866,103995,8017,1132,7111,0,1922927,52.02651998749822,5.318246610505755,42.655233401996014,9885,47.567020738492666,3.7228123419322205,49.42842690945878,33574,47.79591350449753,3.8184309286948235,49.70512896884494,79819,47.70668637793007,3.6733108658339493,49.54334181084704,173470,47.93451317230645,3.6865164005303512,49.77777137257163,350644,46.83781841411802,4.1629116710966105,48.91927424966633,563261,43.26715323801932,4.880685863214389,45.707496169626516,565640,39.923272752987764,5.787780213563398,42.81716285976947,254683,38.23851611611297,7.600036123337639,42.03853417778179,15229,38.91916737802876,11.090682250968547,44.46450850351303,1772378,42.51942869974689,3.861083809435685,44.44997060446473,1669109,42.48512230177897,5.228418275858557,45.09933143970825,237558,43.776677695552245,5.836890359406966,46.69512287525573,16260,43.73308733087331,6.961869618696187,47.2140221402214,45.3143567072489,2296,1247,12,15,0.05543377621539806,572.0,0.35630752347899275,0.2872891650247027,0.2663409938446559,0.2711353399154959,0.32157324815979327,0.6364257661309444,-1.7368502560168588,-0.8150212215248847
