id,fen,name,moves,ECO,parent,child,white,draws,black,bullet_avg,blitz_avg,rapid_avg,classical_avg,0_white,0_draws,0_black,1000_white,1000_draws,1000_black,1200_white,1200_draws,1200_black,1400_white,1400_draws,1400_black,1600_white,1600_draws,1600_black,1800_white,1800_draws,1800_black,2000_white,2000_draws,2000_black,2200_white,2200_draws,2200_black,2500_white,2500_draws,2500_black,bullet_white,bullet_draws,bullet_black,blitz_white,blitz_draws,blitz_black,rapid_white,rapid_draws,rapid_black,classical_white,classical_draws,classical_black
0,r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 2 4,"English Opening: Symmetrical Variation, Four Knights Variation",1.Nf3 Nf6 2.c4 c5 3.Nc3 Nc6,A35,,[629],474551,59856,386531,1911.0,1925.1,1822.0,1775.7,3720,340,2692,10093,802,7938,25819,2010,20857,52668,4384,44060,89984,9036,75620,124954,14379,103885,122250,16508,96472,76641,13579,59813,8054,1970,6681,186388,14865,156653,381690,47095,311559,83513,11343,67554,9348,1418,7418
1,rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 0 4,English Opening: Neo-Catalan,1.Nf3 Nf6 2.c4 e6 3.g3 d5,A13,,"[354, 355]",417123,63036,335042,2177.4,2146.3,2031.5,1925.2,483,29,356,1488,92,1144,3932,288,3245,10613,833,8503,29841,2692,23565,77033,8178,59754,133339,18291,104666,142848,26902,118081,23449,6140,20473,217520,19900,168936,373105,55544,301378,40116,6740,30704,3902,752,2960
2,rnbqk2r/ppppppbp/5np1/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 2 4,Reti: KIA,1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7,A05,,[356],1510068,204575,1363910,2105.9,1973.0,1768.9,1740.5,19413,2405,17904,42474,4501,40857,77263,7779,74420,127669,12724,126278,207076,22298,204484,328249,38230,300330,436708,58156,379110,364431,62814,315719,45935,10353,37989,2148930,224846,1912697,1331055,177336,1192832,165816,24928,158244,13197,2311,12834
3,r1bqkbnr/pp2pppp/2n5/2pp4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,Reti: 1...c5,1.Nf3 c5 2.g3 Nc6 3.Bg2 d5,A04,,[],1000432,102266,820229,1942.9,1913.9,1830.6,1781.1,4815,368,4702,16245,1282,16047,38808,2932,38079,83923,6395,83152,171813,14597,164234,292063,27491,243707,307080,32738,225822,137940,19356,97387,7613,1689,5927,950340,68433,753605,872718,87268,709123,119697,13866,103995,8017,1132,7111
4,rnbqkb1r/ppp2ppp/4pn2/3p4/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq - 0 4,"Reti: Nimzowitsch-Larsen, 2...Nf6",1.Nf3 d5 2.b3 Nf6 3.Bb2 e6,A06,,[],378280,44780,319740,2005.3,1893.8,1801.4,1777.8,1809,145,1639,5772,447,5532,16790,1313,15660,42557,3421,39560,78016,7615,70699,105576,11716,87510,95203,12144,76858,51590,8724,41001,5338,1160,4112,706263,54850,558333,335550,39150,282684,39374,5065,34178,3356,565,2878
5,r1bqkbnr/ppp2ppp/2n5/3pp3/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,Reti: KIA,1.Nf3 d5 2.g3 Nc6 3.Bg2 e5,A07,,[357],696891,64695,674767,1717.5,1599.4,1504.4,1514.8,45251,4487,49204,102692,9888,110936,157200,14487,169355,197133,17379,209040,202147,18051,202316,170301,15541,153865,91174,8853,76674,32573,4155,29183,3563,716,3689,488536,35102,444063,534827,48658,509381,150306,14819,153083,11758,1218,12303
6,rn1qkb1r/ppp1pppp/5n2/3p1b2/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 3 4,Reti: KIA,1.Nf3 d5 2.g3 Nf6 3.Bg2 Bf5,A07,,[],273728,33932,242301,2004.8,1938.4,1718.7,1724.5,5134,504,4579,10735,933,9755,18699,1611,17481,30431,2539,28444,42916,3965,39203,56915,6020,50118,71871,9327,63395,63888,10610,55187,7707,1471,5954,243744,21185,200997,232744,28524,205447,37638,4839,33914,3346,569,2940
7,rnbqkb1r/pp2pppp/2p2n2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,Reti: KIA,1.Nf3 d5 2.g3 Nf6 3.Bg2 c6,A07,,[],809735,110333,710119,2121.9,1988.4,1778.6,1747.2,8748,834,7534,18694,1687,16438,32394,2719,29658,59750,5369,57887,111040,11457,107733,184939,21536,165880,234295,31956,195845,193024,33772,161397,26687,6243,21377,1679588,168867,1444507,725099,98291,633844,78905,11094,70905,5731,948,5370
8,rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,Reti: KIA,1.Nf3 d5 2.g3 Nf6 3.Bg2 e6,A07,,[],1150908,140369,928822,2026.2,1922.4,1717.3,1693.9,17541,1528,14789,37849,3261,32593,71775,6093,63467,128228,11764,114823,200545,20299,175414,268202,29279,214982,291662,35950,219606,231490,36384,179805,30781,6693,24192,2423661,214323,1880428,1021398,123512,820303,119777,15466,100607,9733,1391,7912
9,r1bqkbnr/pp2pppp/2n5/2pp4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 2 4,King's Indian Attack: French Variation,1.Nf3 d5 2.g3 c5 3.Bg2 Nc6,A08,,[],1000432,102266,820229,1942.9,1913.9,1830.6,1781.1,4815,368,4702,16245,1282,16047,38808,2932,38079,83923,6395,83152,171813,14597,164234,292063,27491,243707,307080,32738,225822,137940,19356,97387,7613,1689,5927,950340,68433,753605,872718,87268,709123,119697,13866,103995,8017,1132,7111
