id,fen,name,moves,ECO,parent,child,white,draws,black,bullet_avg,blitz_avg,rapid_avg,classical_avg,0_white,0_draws,0_black,1000_white,1000_draws,1000_black,1200_white,1200_draws,1200_black,1400_white,1400_draws,1400_black,1600_white,1600_draws,1600_black,1800_white,1800_draws,1800_black,2000_white,2000_draws,2000_black,2200_white,2200_draws,2200_black,2500_white,2500_draws,2500_black,bullet_white,bullet_draws,bullet_black,blitz_white,blitz_draws,blitz_black,rapid_white,rapid_draws,rapid_black,classical_white,classical_draws,classical_black
321,rnbqkbnr/ppp1pppp/8/8/4p3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 3,Van Geet Opening: Dunst-Perrenet Gambit,1.Nc3 d5 2.e4 dxe4 3.d3,A00,,[],259470,20912,232983,1746.9,1593.6,1388.1,1409.6,29060,3085,27380,53335,5485,50751,60779,5673,60460,63827,5576,65169,68355,5294,62905,73296,5326,61045,41659,3398,33473,12045,1253,10142,288,65,249,516511,31492,433871,227186,17639,197178,30031,3033,33056,2253,240,2749
327,rnbqkb1r/pppppp1p/5np1/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq - 1 3,English Opening,1.Nf3 Nf6 2.c4 g6 3.Nc3,A15,,[958],796290,102937,706643,2012.9,2019.0,1898.5,1822.5,2160,172,2320,7346,605,7431,20876,1710,20353,48946,4123,47689,107475,10182,103643,188168,20900,175250,222377,28773,191508,201267,32987,165969,28057,5972,22584,410083,36274,372750,695813,88588,613957,92577,13151,85363,7900,1198,7323
331,rnbqkb1r/pppppp1p/5np1/8/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,Reti: KIA,1.Nf3 Nf6 2.g3 g6 3.Bg2,A05,,[352],1324482,182040,1193270,2124.9,2005.3,1804.1,1764.5,15402,1880,13587,30808,3205,29023,54398,5418,51589,89879,8918,89292,159532,17146,158787,284139,33346,261241,404777,53842,352122,342572,58978,295958,43583,9810,35870,1695570,177521,1512561,1171946,158168,1047480,140733,21752,134263,11803,2120,11527
334,r1bqkbnr/pp1ppppp/2n5/2p5/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,Reti: 1...c5,1.Nf3 c5 2.g3 Nc6 3.Bg2,A04,,[],726190,79170,639558,1946.7,1860.9,1711.2,1676.5,8463,734,7675,24391,1997,22865,50934,4217,48144,89962,7453,84853,143219,13009,134089,191048,19322,166844,184609,21149,153858,106994,16111,90821,10358,2126,9093,1042505,83793,873931,637662,68759,558594,83529,9710,76351,4999,701,4613
336,rnbqkb1r/ppp1pppp/5n2/3p4/8/1P3N2/PBPPPPPP/RN1QKB1R b KQkq - 2 3,"Reti: Nimzowitsch-Larsen, 2...Nf6",1.Nf3 d5 2.b3 Nf6 3.Bb2,A06,,[353],455981,57366,402710,1986.0,1914.0,1787.5,1762.4,4354,323,3899,11388,923,10484,24704,1937,22836,47742,3922,44022,78978,7343,72351,112566,12293,99000,123713,16708,107498,82708,14692,71043,10274,2408,8796,556684,43869,457557,394809,49016,347699,55633,7408,49990,5539,942,5021
341,rnbqkbnr/ppp1pppp/8/8/2Pp4/4PN2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,"Reti: Advance, 3.e3",1.Nf3 d5 2.c4 d4 3.e3,A09,,[966],298003,22849,236590,1858.2,1858.3,1799.1,1742.1,1813,123,1851,7007,468,6851,16857,1046,16036,33389,2074,29620,62051,3940,51086,92643,6411,70718,74616,6024,55203,32810,3894,27024,2494,506,2939,132694,6635,106752,249630,18608,197168,45118,3962,36779,3255,279,2643
346,rnbqkbnr/ppp1pppp/8/8/2p5/4PN2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,"Reti: Accepted, 3.e3",1.Nf3 d5 2.c4 dxc4 3.e3,A09,,[],411926,30183,261855,1649.4,1664.2,1613.1,1570.6,6561,437,4798,19510,1275,14224,47059,2966,33324,84029,5006,55913,118255,7609,74941,118671,8655,72733,67781,5772,41768,21634,2804,15175,1556,337,1325,189201,10286,135703,330506,23933,214095,75872,5806,44889,5548,444,2871
348,rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,"Queen's Pawn Game, Symmetrical, 3.c4",1.Nf3 d5 2.d4 Nf6 3.c4,A06,,[],5710370,629376,4639993,1829.7,1819.2,1674.1,1653.6,92281,6443,74920,275860,19438,225389,581827,40951,472619,953315,71518,778536,1232815,104758,1014131,1423065,144038,1141299,1242828,155818,984707,773287,131328,644673,85060,21916,76647,3359929,239210,2718529,4639824,512089,3789537,977996,106122,782549,92550,11165,67907
349,rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,Reti: KIA,1.Nf3 d5 2.g3 Nf6 3.Bg2,A07,,"[1732, 2576]",1880935,236452,1612010,1964.6,1886.4,1666.8,1660.4,48920,4664,43704,97000,8971,88852,153693,13547,143649,222451,19472,208216,301069,29371,276954,404341,43822,348306,488322,62523,398441,408095,68531,333875,56657,12733,46218,2237380,197124,1831006,1607111,200179,1368362,250947,32619,223163,22877,3654,20485
350,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,King's Indian Attack: Sicilian Variation,1.Nf3 d5 2.g3 c5 3.Bg2,A08,,"[354, 355, 356]",1131747,114623,917200,1892.0,1859.0,1767.2,1725.8,11336,922,10192,32038,2537,29381,65612,5043,60870,122950,9447,115150,214983,18366,197009,321954,30216,262189,317455,33931,231222,145251,20640,104197,9154,2023,7433,1049732,76451,821308,967800,95979,776600,152709,17154,130849,11238,1490,9751
354,rnbqk1nr/ppppppbp/6p1/8/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,Reti: 1...g6,1.Nf3 g6 2.g3 Bg7 3.Bg2,A04,,[],767585,89465,703430,1967.5,1812.3,1653.9,1616.9,13162,1379,12292,34709,3419,33684,70476,6674,67708,120827,11317,116625,168392,17080,162220,184892,19686,165409,166669,20245,144187,114404,18443,103426,12401,2694,11563,1865259,172658,1644797,676351,78224,617125,85976,10479,81326,5258,762,4979
359,r1bqkbnr/pppp1ppp/2n5/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,Nimzo-Larsen Attack: Modern Variation,1.b3 e5 2.Bb2 Nc6 3.e3,A01,,[],2281144,191583,1985492,1741.9,1654.7,1616.5,1611.1,40456,2911,36155,149134,10530,132212,362901,25307,318609,632664,44111,548572,689537,52392,597785,517885,43116,439061,290390,29779,254654,135891,19330,130798,14777,2855,14622,1411904,90979,1250277,1722596,143967,1505342,520848,44167,448811,37700,3449,31339
366,rnbqkb1r/ppp1pppp/5n2/3p4/1P6/4P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,Polish: 1...d5 2.Bb2 Nf6 3.e3,1.b4 d5 2.Bb2 Nf6 3.e3,A00,,[],245661,24630,235021,1737.0,1773.1,1724.8,1703.7,994,75,999,3889,275,3895,13491,920,12799,35630,2760,34367,73311,6305,70210,83413,8465,78853,43957,5576,41864,9073,1475,9438,277,49,289,131381,7805,117188,211293,20703,199944,32794,3718,33422,1574,209,1655
368,rnbqk1nr/pppp1ppp/8/4B3/1b6/8/P1PPPPPP/RN1QKBNR b KQkq - 0 3,Polish: 2...Bxb4 3.Bxe5,1.b4 e5 2.Bb2 Bxb4 3.Bxe5,A00,,"[974, 975]",657676,46374,499998,1726.6,1745.8,1695.4,1691.2,8245,520,5104,22702,949,11556,65594,2550,33868,147347,6540,86585,218325,12353,154050,181281,14230,152467,85101,9360,79866,24394,3624,25741,1228,267,1289,291838,13824,215643,510834,35817,391645,138282,9743,101257,8560,814,7096
372,rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,"English Opening: Symmetrical Variation, Fianchetto Variation",1.c4 Nf6 2.Nc3 c5 3.g3,A34,,[],406955,47419,357311,1879.0,1899.3,1792.5,1750.5,3091,216,2253,9512,673,7303,23492,1653,18387,47233,3464,38708,80545,7303,67851,114452,12671,100578,103972,13721,94620,57044,9447,51975,3709,813,3579,207707,15511,179312,341349,39180,300048,59881,7412,52398,5725,827,4865
375,rnbqkb1r/ppp1pppp/5n2/3P4/8/2N5/PP1PPPPP/R1BQKBNR b KQkq - 0 3,"English: Anglo-Gruenfeld, 3.cxd5",1.c4 Nf6 2.Nc3 d5 3.cxd5,A16,,"[979, 2582]",669130,76101,594420,1851.2,1847.9,1786.2,1756.8,3659,302,3204,12858,974,11386,37112,2605,33028,88110,6918,77860,158037,14221,141213,209773,22302,185712,149037,20484,132855,60569,11376,53795,3604,800,2985,513732,38012,464004,569891,63966,508545,92538,11188,80400,6701,947,5475
376,rnbqkb1r/pppp1ppp/4pn2/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq - 1 3,"English: Anglo-Indian, 2.Nc3 e6 3.Nf3",1.c4 Nf6 2.Nc3 e6 3.Nf3,A17,,[981],559856,68387,498541,1928.9,1933.9,1849.4,1773.2,1897,200,1683,6184,441,5517,19994,1444,18190,51895,4094,47314,108772,10416,98775,157416,17640,142912,138967,18572,122249,90658,15056,77514,12148,2609,9777,302840,24064,275320,472100,56704,419721,80470,10632,72037,7286,1051,6783
377,rnbqkb1r/pppp1ppp/4pn2/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq - 0 3,English Opening: Mikenas-Carls Variation,1.c4 Nf6 2.Nc3 e6 3.e4,A18,,"[985, 986, 987]",724242,70129,555342,1986.0,1952.3,1851.7,1755.8,2890,206,2545,9006,635,8037,22324,1554,20309,48695,3509,43196,107837,8245,87163,202731,16989,154380,226417,22511,166622,129856,17283,97537,8706,1592,6444,430398,27854,342517,622671,59054,476231,93509,10109,73147,8062,966,5964
